                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96908,                 2.7943,                  1.338,                0.00575,                0.89157,                0.44581,                0.34846,                0.83929,                 3.3197,                  1.369,             0.00025722,             0.00025722,             0.00025722
                      1,                0.96078,                 1.9511,                 1.3362,                0.79039,                0.15818,                0.55464,                0.35878,                 1.0846,                 3.0887,                  1.593,             0.00052611,             0.00052611,             0.00052611
                      2,                0.96632,                  1.616,                 1.2901,                0.66283,                0.57475,                0.66629,                0.47736,                 1.1455,                 2.2887,                 1.6676,             0.00079232,             0.00079232,             0.00079232
                      3,                0.98932,                 1.5593,                 1.2948,                 0.6032,                0.48455,                0.61157,                 0.3979,                 1.3276,                 2.4499,                 1.8716,              0.0010558,              0.0010558,              0.0010558
                      4,                 1.0252,                 1.5142,                 1.3247,                 0.4126,                0.57036,                0.49431,                0.26625,                 1.6786,                 3.4383,                 2.0253,              0.0013167,              0.0013167,              0.0013167
                      5,                 1.0673,                 1.5594,                 1.3728,                0.58845,                0.45346,                 0.4778,                0.29005,                 1.4828,                 2.8227,                 2.1113,              0.0013936,              0.0013936,              0.0013936
                      6,                 1.0653,                 1.5372,                 1.3608,                0.62334,                0.51186,                0.59302,                0.37859,                 1.4118,                 2.8888,                  1.816,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.0708,                 1.4808,                 1.3528,                 0.4887,                0.43647,                0.42462,                0.26653,                 1.5017,                 2.8794,                 2.1274,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.0793,                  1.511,                 1.3706,                0.58231,                0.57318,                0.57401,                0.36679,                 1.3824,                 2.7971,                 1.9401,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.0297,                 1.3926,                 1.3499,                 0.5719,                0.35497,                0.40239,                0.26113,                  1.681,                 2.8112,                 2.0439,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.0822,                 1.3649,                 1.3479,                0.55806,                0.56969,                0.46865,                0.31217,                 1.4152,                 2.4218,                  2.008,              0.0013653,              0.0013653,              0.0013653
                     11,                0.95847,                 1.2618,                 1.2837,                 0.5553,                0.57606,                 0.5494,                 0.3718,                 1.3341,                 2.2072,                 1.7678,              0.0013583,              0.0013583,              0.0013583
                     12,                 1.0156,                 1.2946,                 1.3414,                0.59632,                0.55599,                0.57188,                0.34285,                 1.5791,                 2.4577,                  2.015,              0.0013512,              0.0013512,              0.0013512
                     13,                 1.0767,                 1.2714,                 1.3324,                 0.7419,                0.62556,                0.71934,                0.46498,                 1.3095,                 1.9145,                 1.8119,              0.0013441,              0.0013441,              0.0013441
                     14,                0.99391,                 1.1854,                 1.2934,                0.57218,                0.65003,                0.67843,                0.45761,                 1.2806,                 2.0012,                  1.619,               0.001337,               0.001337,               0.001337
                     15,                 1.0116,                 1.1901,                 1.2974,                0.57892,                0.60619,                0.61572,                0.42223,                 1.3408,                 1.9247,                  1.702,                0.00133,                0.00133,                0.00133
                     16,                  1.012,                 1.1353,                 1.2947,                0.70102,                0.62883,                 0.6675,                0.44613,                 1.2399,                 2.0492,                 1.6003,              0.0013229,              0.0013229,              0.0013229
                     17,                 0.9738,                 1.1591,                 1.3087,                0.73503,                0.67918,                 0.7639,                0.54137,                 1.1629,                 1.5252,                 1.6539,              0.0013158,              0.0013158,              0.0013158
                     18,                0.94851,                 1.0913,                 1.2871,                0.65745,                0.58682,                 0.6395,                  0.472,                 1.1468,                 1.8808,                 1.5845,              0.0013087,              0.0013087,              0.0013087
                     19,                0.97417,                 1.0805,                   1.31,                0.78487,                0.69037,                0.75772,                0.54092,                 1.1637,                 1.5331,                 1.5567,              0.0013017,              0.0013017,              0.0013017
                     20,                0.91491,                 1.0499,                 1.2557,                0.73738,                0.64634,                0.71207,                0.53364,                 1.1687,                 1.6381,                 1.6046,              0.0012946,              0.0012946,              0.0012946
                     21,                0.89542,                0.99899,                 1.2495,                0.71829,                0.67012,                0.69263,                0.48091,                 1.1909,                 1.6007,                 1.6486,              0.0012875,              0.0012875,              0.0012875
                     22,                0.94622,                0.96337,                   1.24,                0.63528,                  0.697,                0.65826,                0.48071,                 1.1611,                 1.7156,                 1.5973,              0.0012805,              0.0012805,              0.0012805
                     23,                0.93625,                0.98185,                  1.242,                0.72576,                 0.6332,                0.69218,                0.50653,                 1.1136,                 1.5438,                 1.5851,              0.0012734,              0.0012734,              0.0012734
                     24,                0.83927,                0.91615,                 1.1988,                0.75703,                0.77775,                0.76977,                0.57933,                 1.0214,                 1.3988,                 1.4934,              0.0012663,              0.0012663,              0.0012663
                     25,                0.90418,                0.99303,                 1.2851,                0.70748,                0.60329,                0.65602,                0.48177,                  1.256,                  1.708,                 1.8131,              0.0012592,              0.0012592,              0.0012592
                     26,                0.89791,                0.95133,                  1.243,                0.81245,                0.63246,                0.71234,                0.53477,                 1.1459,                 1.4675,                  1.598,              0.0012522,              0.0012522,              0.0012522
                     27,                0.88611,                0.94003,                 1.2393,                0.83476,                0.62754,                0.72111,                0.53956,                  1.094,                 1.4679,                  1.526,              0.0012451,              0.0012451,              0.0012451
